Move:  Attack Order | BUG | EOT 0 | 2 | DB9 | PHYSICAL |  6, 1 Target |  Attack Order is a Critical Hit on 18+. |
Move:  Bug Bite | BUG | AW 0 | 2 | DB6 | PHYSICAL |  Melee, 1 Target |  If the target has a stored Digestion Buff or has traded in a Digestion Buff this Scene, the user may gain the effects of the Digestion Buff. This does not count towards the usual limit on the user’s Digestion Buffs. |
Move:  Bug Buzz | BUG | SCENE 2 | 2 | DB9 | SPECIAL |  Cone 2 or Close Blast 2, Sonic, Smite |  Bug Buzz lowers the Special Defense of all targets on 19+. |
Move:  Defend Order | BUG | EOT 0 | 0 | NON | STATUS |  Self |  Raise the user’s Defense and Special Defense 1 Combat Stage each. |
Move:  Fell Stinger | BUG | AW 0 | 2 | DB5 | PHYSICAL |  Melee, 1 Target |  If the user successfully knocks out a target with Fell Stinger, raise their Attack by 2 Combat Stages. |
Move:  First Impression | BUG | EOT 0 | 2 | DB9 | PHYSICAL |  Melee, 1 Target, Priority |  You may only use First Impression with Priority upon joining an encounter; if you do, First Impression Flinches the target. Switching out resets the requirement of joining an encounter. |
Move:  Fury Cutter | BUG | AW 0 | 3 | DB4 | PHYSICAL |  Melee, 1 Target |  If Fury Cutter is used successfully and consecutively on the same target, the  |
Move:  Heal Order | BUG | DAILY 2 | 0 | NON | STATUS |  Self, Healing |  The user regains Hit Points equal to half of its full Hit Point value. |
Move:  Infestation | BUG | SCENE 2 | 4 | DB4 | SPECIAL |  3, 1 Target |  The target is put in a Vortex. |
Move:  Leech Life | BUG | SCENE 2 | 2 | DB8 | PHYSICAL |  Melee, 1 Target |  After the target takes damage, the user gains HP equal to half of the damage they dealt to the target. |
Move:  Lunge | BUG | EOT 0 | 2 | DB8 | PHYSICAL |  Melee, 1 Target |  Lunge may be used as a Free Action at the end of a Sprint Maneuver taken as a Standard Action, as long as the user Shifted at least 3 meters in a straight line towards the target. When used this way, Lunge's target receives a -5 penalty to damage rolls for 1 round. |
Move:  Megahorn | BUG | SCENE 2 | 5 | DB12 | PHYSICAL |  Melee, 1 Target, Push |  The target is pushed 1 Meter. |
Move:  Pin Missile | BUG | EOT 0 | 4 | DB3 | PHYSICAL |  6, 1 Target, Five Strike |  None |
Move:  Pollen Puff | BUG | EOT 0 | 2 | DB9 | SPECIAL |  6, 1 Target |  Once per Scene, Pollen Puff may instead be used on an ally; when used this way, the target recovers 50% of their maximum Hit Points and the Move has the Healing keyword. |
Move:  Powder | BUG | SCENE 2 | 0 | NON | STATUS |  6, 1 Target, Interrupt, Powder |  The target is dusted with a Coat of flammable powder. If it uses a damaging Fire-Type attack, the attack is negated and instead creates a Blast 3 centered on itself as the powder explodes, and the Coat is removed. All targets within the Blast take damage equal to what the user of the Fire-Type attack would roll for the damage of their attack. This damage is Typeless or Fire-Type, whichever would be more effective. The Powder keyword only applies to the initial Coat, not the Blast. |
Move:  Quiver Dance | BUG | SCENE 2 | 0 | NON | STATUS |  Self, Dance |  Raise the user’s Special Attack, Special Defense, and Speed by +1 Combat Stage each. |
Move:  Rage Powder | BUG | SCENE 2 | 0 | NON | STATUS |  Burst 1 or Line 6, Powder |  All targets hit by Rage Powder are Enraged. While enraged, they must shift to target the user when using a Move or Attack if the user is within reach. If the user is Fainted or Switched out, all targets hit by Rage Powder are cured of rage. |
Move:  Signal Beam | BUG | EOT 0 | 2 | DB8 | SPECIAL |  6, 1 Target |  Signal Beam confuses the target on 19+. |
Move:  Silver Wind | BUG | AW 0 | 2 | DB6 | SPECIAL |  6, 1 Target, Spirit Surge |  On 19+, the user has each of its stats raised by +1 Combat Stage. |
Move:  Spider Web | BUG | SCENE 2 | 0 | NON | STATUS |  5, 1 Target |  Spider Web cannot miss. The target is Stuck and Trapped. If the user is freed of the Stuck condition, they are freed of Trapped as well. |
Move:  Steamroller | BUG | EOT 0 | 2 | DB7 | PHYSICAL |  Melee, Pass |  Steamroller Flinches the target on 15+. If the target is Small, Steamroller deals an additional +5 Damage. |
Move:  Sticky Web | BUG | EOT 0 | 0 | NON | STATUS |  6, Hazard |  Set 8 square meters of Sticky Web hazards within your range, all 8 meters must be adjacent with at least one other space of Sticky Web. Sticky Web causes Terrain to become Slow Terrain, and a foe that runs into the hazard has its Speed lowered by one stage, and they become Slowed until the end of their next turn. Flying-Type Pokémon and Pokémon and Trainers with Levitate are not affected by Sticky Web. Bug-type Pokémon may move over Sticky Web harmlessly, destroying the Hazards as they do so. |
Move:  String Shot | BUG | AW 0 | 3 | NON | STATUS |  Cone 2 |  Targets have their Speed CS lowered by -1. If this lowers their Speed CS to -6, or if their Speed CS was already at -6, the target is instead Stuck. |
Move:  Struggle Bug | BUG | AW 0 | 2 | DB5 | SPECIAL |  Cone 2 |  On hit, lowers the target’s Special Attack by -1 CS. |
Move:  Tail Glow | BUG | SCENE 0 | 0 | NON | STATUS |  Self |  Raise the user’s Special Attack 3 Combat Stages. |
Move:  Twineedle | BUG | AW 0 | 3 | DB3 | PHYSICAL |  Melee, 1 Target, Double Strike |  Twineedle Poisons the target on an Accuracy Check of 18+ |
Move:  U-Turn | BUG | AW 0 | 2 | DB7 | PHYSICAL |  Melee, 1 Target, Dash |  If U-Turn successfully hits its target, the user deals damage and then immediately is returned to its Poké Ball in the same turn. A New Pokémon may immediately be sent out. Using U-Turn lets a Trapped user be recalled. |
Move:  X-Scissor | BUG | AW 0 | 2 | DB8 | PHYSICAL |  Melee, 1 Target, Dash |  None |
Move:  Assurance | DARK | AW 0 | 2 | DB6 | PHYSICAL |  Melee, 1 Target |  When you hit with Assurance, if Assurance’s target has already been damaged by a Move on the same round Assurance is being used, Assurance has a  |
Move:  Beat Up | DARK | EOT 0 | 0 | NON | PHYSICAL |  Melee, 1 Target |  The user and up to two allies adjacent to the target may each make a Struggle Attack against the target. These Struggle Attacks hit for Dark-Type Damage instead of their usual Type. Beat Up may trigger Pack Hunt only once, no matter the number of attacks. |
Move:  Bite | DARK | AW 0 | 2 | DB6 | PHYSICAL |  Melee, 1 Target |  Bite Flinches the target on 15+. |
Move:  Brutal Swing | DARK | EOT 0 | 2 | DB6 | PHYSICAL |  Burst 1 |  None |
Move:  Crunch | DARK | EOT 0 | 2 | DB8 | PHYSICAL |  Melee, 1 Target |  Crunch lowers the target’s Defense 1 Combat Stage on 17+. |
Move:  Dark Pulse | DARK | EOT 0 | 2 | DB8 | SPECIAL |  8, 1 Target, Aura |  Dark Pulse Flinches the target on 17+. |
Move:  Dark Void | DARK | EOT 0 | 10 | NON | STATUS |  Melee 1 |  The target falls Asleep. Once per Scene, Dark Void may be used as if its range were “Burst 5, Friendly” instead. |
Move:  Darkest Lariat | DARK | EOT 0 | 2 | DB9 | PHYSICAL |  Melee, 1 Target |  This Move ignores the target’s positive Defense Combat Stages and all Damage Reduction. |
Move:  Embargo | DARK | AW 0 | 2 | NON | STATUS |  6, 1 Target |  The target cannot use or benefit from held items for the remainder of the encounter. Embargo may only affect one target at a time; if Embargo is used on a new target, the previous target is freed from the effect. |
Move:  Fake Tears | DARK | EOT 0 | 2 | NON | STATUS |  8, 1 Target, Social |  Lower the target’s Special Defense 2 Combat Stages. |
Move:  Feint Attack | DARK | EOT 0 | 0 | DB6 | PHYSICAL |  Melee, 1 Target |  Feint Attack cannot miss. |
Move:  Flatter | DARK | AW 0 | 2 | NON | STATUS |  6, 1 Target, Social |  The target’s Special Attack is raised by +1 Combat Stage. Flatter Confuses the target. |
Move:  Fling | DARK | SCENE 2 | 2 | NON | PHYSICAL |  6, 1 Target, Fling |  The user throws a held item, determining the effect of Fling. |
Move:  Foul Play | DARK | SCENE 2 | 2 | DB10 | PHYSICAL |  Melee, 1 Target |  The target reveals its Attack stat. When calculating damage, add the target’s Attack stat instead of the user’s Attack stat. |
Move:  Hone Claws | DARK | AW 0 | 0 | NON | STATUS |  Self |  The user’s Accuracy is raised by +1, and the user gains +1 Attack Combat Stage. |
Move:  Hyperspace Fury | DARK | DAILY 0 | 2 | DB10 | PHYSICAL |  Burst 2 |  Interrupts may not be triggered against Hyperspace Fury. The user’s Defense is lowered by -1 Combat Stage. |
Move:  Knock Off | DARK | SCENE 0 | 2 | DB7 | PHYSICAL |  Melee, 1 Target |  Choose one of the target’s Held Items or Accessory Slot Items. It is knocked to the ground. |
Move:  Memento | DARK | SCENE 0 | 0 | NON | STATUS |  8, 1 Target, Trigger, Free Action |  Memento may be used as a Free Action when the user becomes Fainted. Memento’s target has each of their stats lowered by -2 CS. |
Move:  Nasty Plot | DARK | EOT 0 | 0 | NON | STATUS |  Self |  Raise the user’s Special Attack 2 Combat Stages. |
Move:  Night Daze | DARK | EOT 0 | 3 | DB9 | SPECIAL |  4, 1 Target |  Night Daze lowers the target’s Accuracy by -1 on 13+. |
Move:  Night Slash | DARK | EOT 0 | 2 | DB7 | PHYSICAL |  Melee, Pass |  Night Slash is a Critical Hit on 18+. |
Move:  Parting Shot | DARK | AW 0 | 2 | NON | STATUS |  6, 1 Target, Social |  If Parting Shot successfully hits, the target’s Attack and Special Attack stats are lowered by one Combat Stage and the user is immediately recalled in the same turn. A new Pokémon may immediately be sent out. Using Parting Shot lets a Trapped user be recalled. |
Move:  Payback | DARK | EOT 0 | 2 | DB5 | PHYSICAL |  Melee, 1 Target |  If the target hit the user with a Damaging Move on the previous turn, Payback has a  |
Move:  Power Trip | DARK | EOT 0 | 2 | DB2 | PHYSICAL |  Melee, 1 Target |  This Move gains +2 to its  |
Move:  Punishment | DARK | EOT 0 | 2 | DB6 | PHYSICAL |  Melee, 1 Target |  Punishment’s  |
Move:  Pursuit | DARK | AW 0 | 2 | DB4 | PHYSICAL |  Melee, 1 Target, Special |  If an adjacent foe Shifts away without Disengaging, or a foe attempts to leave the Scene, Pursuit may be triggered as a Full Action Reaction. If a foe is Recalled or Switched Out, Pursuit may be triggered as a Full Action Interrupt. When triggered, the user may Shift with a +5 bonus to all movement speeds, ending adjacent to the triggering foe. The user may then attack with Pursuit, with a  |
Move:  Quash | DARK | AW 0 | 2 | NON | STATUS |  10, 1 Target, Social |  Quash changes the target’s Initiative to 0 for the remainder of the round |
Move:  Snarl | DARK | EOT 0 | 3 | DB6 | SPECIAL |  Cone 2, Sonic |  All Legal Targets have their Special Attack lowered 1 Combat Stage. |
Move:  Snatch | DARK | SCENE 2 | 0 | NON | STATUS |  6, 1 Target, Interrupt, Trigger |  If the target uses a Self-Targeting Move, you may use Snatch. You gain the benefits of the Self-Targeting Move instead of the target. |
Move:  Sucker Punch | DARK | AW 0 | 2 | DB7 | PHYSICAL |  Melee, 1 Target, Interrupt, Trigger |  If an adjacent foe targets the user with a Damaging Attack, Sucker Punch may be used as an Interrupt Move against the triggering foe. |
Move:  Switcheroo | DARK | AW 0 | 2 | NON | STATUS |  Melee, 1 Target |  The user and the target exchange Held Items or Accessory Slot Items. |
Move:  Taunt | DARK | EOT 0 | 3 | NON | STATUS |  6, 1 Target, Social |  The target becomes Enraged. |
Move:  Thief | DARK | AW 0 | 2 | DB6 | PHYSICAL |  Melee, 1 Target |  Thief takes the target’s Held Item or Accessory Slot Item and attaches it to Thief’s user, if the user is not holding anything. |
Move:  Throat Chop | DARK | EOT 0 | 2 | DB8 | PHYSICAL |  Melee, 1 Target |  The target cannot use Moves with the Sonic keyword for the next two turns. |
Move:  Topsy-Turvy | DARK | EOT 0 | 4 | NON | STATUS |  6, 1 Target |  The target’s Combat Stages are inverted; +1 Stage becomes -1 Stage, -3 Stages becomes +3 Stages, etc. |
Move:  Torment | DARK | SCENE 2 | 2 | NON | STATUS |  10, 1 Target, Social, Swift Action |  The target becomes Suppressed. |
Move:  Clanging Scales | DRAGON | SCENE 2 | 2 | DB11 | SPECIAL |  6, 1 Target or Burst 1 |  The user adds half their Defense Stat to Clanging Scale's Damage Roll. After the Move is resolved, the user's Defense is lowered by 1 CS. |
Move:  Core Enforcer | DRAGON | DAILY 2 | 2 | DB10 | SPECIAL |  6, Ranged Blast 3, Spirit Surge |  Each target has its Ability disabled until the end of the encounter. If a target has more than one Ability, you choose one of them to disable. |
Move:  Draco Meteor | DRAGON | SCENE 0 | 4 | DB13 | SPECIAL |  8, Ranged Blast 3, Smite, Reckless |  Lower the user’s Special Attack 2 Combat Stages after damage. |
Move:  Dragon Breath | DRAGON | EOT 0 | 2 | DB6 | SPECIAL |  6, 1 Target |  Dragon Breath Paralyzes the Target on 15+. |
Move:  Dragon Claw | DRAGON | AW 0 | 2 | DB8 | PHYSICAL |  Melee, 1 Target |  None |
Move:  Dragon Dance | DRAGON | EOT 0 | 0 | NON | STATUS |  Self, Dance |  Raise the user’s Attack 1 Combat Stage and raise the user’s Speed 1 Combat Stage. |
Move:  Dragon Hammer | DRAGON | EOT 0 | 2 | DB9 | PHYSICAL |  Melee, 1 Target or Line 3 |  None |
Move:  Dragon Pulse | DRAGON | EOT 0 | 2 | DB9 | SPECIAL |  8, 1 Target, Aura |  None |
Move:  Dragon Rage | DRAGON | AW 0 | 2 | NON | SPECIAL |  4, 1 Target |  If it hits, Dragon Rage causes the target to lose 15 Hit Points. Dragon Rage is Special and interacts with other moves and effects as such (Special Evasion may be applied to avoid it, Mirror Coat can reflect it, etc.). |
Move:  Dragon Rush | DRAGON | SCENE 2 | 4 | DB10 | PHYSICAL |  Melee, 1 Target, Dash, Push, Smite |  The target is Pushed 3 meters. Dragon Rush Flinches the target on 17+. |
Move:  Dragon Tail | DRAGON | AW 0 | 3 | DB6 | PHYSICAL |  Melee, 1 Target, Push |  The target is Pushed 6 meters minus their Weight Class. On a roll of 15+, the target is also Tripped. |
Move:  Dual Chop | DRAGON | EOT 0 | 3 | DB5 | PHYSICAL |  Melee, 1 Target, Double Strike |  None |
Move:  Outrage | DRAGON | SCENE 2 | 3 | DB12 | PHYSICAL |  Melee, All Adjacent Foes, Smite, Reckless |  After damage is dealt, the user becomes Enraged and Confused. |
Move:  Roar of Time | DRAGON | DAILY 2 | 4 | DB15 | SPECIAL |  Burst 8, Smite, Exhaust |  All legal targets are Slowed, even if the attack misses.  |
Move:  Spacial Rend | DRAGON | DAILY 2 | 3 | DB10 | SPECIAL |  10, 1 Target |  Spacial Rend is a Critical Hit on Even-Numbered Rolls. |
Move:  Twister | DRAGON | AW 0 | 2 | DB4 | SPECIAL |  6, Ranged Blast 3 |  Small or Medium targets in the central square of the blast are not hit. Twister Flinches the target on 18-20 during Accuracy Check. Any Pokémon Airborne as a result of Fly or Sky Drop above the Blast are hit, ignoring range, and Twister has a  |
Move:  Bolt Strike | ELECTRIC | SCENE 2 | 5 | DB13 | PHYSICAL |  10, 1 Target, Smite |  Bolt Strike Paralyzes the target on 17+. |
Move:  Charge | ELECTRIC | EOT 0 | 0 | NON | STATUS |  Self |  If the user performs an Electric Move on their next turn that deals damage, add its Damage Dice Roll an extra time to the damage. Raise the user’s Special Defense 1 Combat Stage. |
Move:  Charge Beam | ELECTRIC | AW 0 | 4 | DB5 | SPECIAL |  6, 1 Target |  If Charge Beam successfully hits a target, roll 1d20. On a roll of 7+, the user’s Special Attack is raised by +1 Combat Stage. |
Move:  Discharge | ELECTRIC | EOT 0 | 2 | DB8 | SPECIAL |  All Cardinally Adjacent Targets |  Discharge Paralyzes all legal targets on 15+. |
Move:  Eerie Impulse | ELECTRIC | EOT 0 | 2 | NON | STATUS |  6, 1 Target |  The target’s Special Attack is lowered 2 Combat Stages. |
Move:  Electric Terrain | ELECTRIC | DAILY 2 | 0 | NON | STATUS |  Field |  The field becomes Electrified for 5 rounds. While Electrified, Pokémon and Trainers touching the ground are immune to Sleep, and Electric-Type attacks used by Pokémon and Trainers touching the ground gain a +10 Bonus to Damage Rolls. |
Move:  Electrify | ELECTRIC | EOT 0 | 0 | NON | STATUS |  6, 1 Target |  Until the end of the user’s next turn, the target’s damaging Water-Type attacks and Melee attacks of any Type deal Electric-Type Damage instead of their usual Type. |
Move:  Electro Ball | ELECTRIC | SCENE 2 | 2 | DB6 | SPECIAL |  10, 1 Target |  The user adds their Speed Stat, including Combat Stages, in addition to their Special Attack when determining the damage dealt by Electro Ball. The Defender in turn subtracts both their Special Defense and Speed Stats from the damage dealt before applying Type Effectiveness. |
Move:  Electroweb | ELECTRIC | EOT 0 | 3 | DB6 | SPECIAL |  4, Ranged Blast 2 |  All Legal Targets are lowered 1 Speed Combat Stage. |
Move:  Fusion Bolt | ELECTRIC | SCENE 2 | 2 | DB10 | PHYSICAL |  8, 1 Target, Smite |  If Fusion Flare was used this round or last round by any participant of the encounter, Fusion Bolt has its  |
Move:  Ion Deluge | ELECTRIC | SCENE 0 | 0 | NON | STATUS |  5, Ranged Blast 3, Interrupt, Hazard |  An Ion Cloud Hazard is dispersed in the targeted area. All Normal-Type Moves targeting into or originating from the Ion Cloud become Electric-Typed Moves. |
Move:  Magnet Rise | ELECTRIC | DAILY 2 | 0 | NON | STATUS |  Self, Swift Action |  The user gains the Levitate Ability for 5 turns. |
Move:  Magnetic Flux | ELECTRIC | SCENE 2 | 0 | NON | STATUS |  Burst 4 |  All targets with the Plus or Minus Abilities receive +1 Defense and Special Defense Combat Stages. |
Move:  Nuzzle | ELECTRIC | SCENE 0 | 2 | DB2 | PHYSICAL |  Melee, 1 Target |  Nuzzle Paralyzes the target. |
Move:  Parabolic Charge | ELECTRIC | SCENE 0 | 2 | DB7 | SPECIAL |  Cone 2 |  After the targets take damage, the user gains Hit Points equal to half of the total damage they dealt to all targets. |
Move:  Plasma Fists | ELECTRIC | SCENE 0 | 2 | DB10 | PHYSICAL |  Melee, 1 Target, Smite |  The target’s next damaging Normal Type Move instead becomes Electric Type. |
Move:  Shock Wave | ELECTRIC | EOT 0 | 0 | DB6 | SPECIAL |  6, 1 Target |  Shock Wave cannot miss. |
Move:  Spark | ELECTRIC | EOT 0 | 2 | DB6 | PHYSICAL |  Melee, 1 Target, Dash |  Spark Paralyzes the target on 15+. |
